window,is_start,is_end,oos_start,oos_end,bull_ach_weight,trail_stop_ach,trail_stop_btc,is_final,is_total_ret,is_cagr,is_max_dd,is_sharpe,is_calmar,is_n_trades,is_n_bear_exits,is_n_trail_ach,is_n_trail_btc,is_days,oos_final,oos_total_ret,oos_cagr,oos_max_dd,oos_sharpe,oos_calmar,oos_n_trades,oos_n_bear_exits,oos_n_trail_ach,oos_n_trail_btc,oos_days
W1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,0.5,0.2,0.15,92088.88,820.89,203.23,42.36,1.69,4.8,844,10,22,1,731,10496.2,4.96,4.97,18.22,0.3,0.27,10,0,1,0,365
W1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,0.5,0.2,0.2,136314.37,1263.14,268.88,42.36,1.9,6.35,578,10,21,1,731,10496.2,4.96,4.97,18.22,0.3,0.27,10,0,1,0,365
W1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,0.5,0.2,0.25,135414.57,1254.15,267.66,42.36,1.89,6.32,572,10,21,1,731,10496.2,4.96,4.97,18.22,0.3,0.27,10,0,1,0,365
W1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,0.5,0.2,0.3,146964.56,1369.65,283.01,45.91,1.97,6.16,462,10,21,1,731,10496.2,4.96,4.97,18.22,0.3,0.27,10,0,1,0,365
W1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,0.5,0.25,0.15,114738.66,1047.39,238.45,41.71,1.79,5.72,848,12,15,1,731,10496.2,4.96,4.97,18.22,0.3,0.27,10,0,1,0,365
W1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,0.5,0.25,0.2,164101.69,1541.02,304.71,41.71,1.98,7.31,582,12,15,1,731,10496.2,4.96,4.97,18.22,0.3,0.27,10,0,1,0,365
W1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,0.5,0.25,0.25,163113.95,1531.14,303.49,41.71,1.98,7.28,576,12,15,1,731,10496.2,4.96,4.97,18.22,0.3,0.27,10,0,1,0,365
W1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,0.5,0.25,0.3,176078.52,1660.79,319.21,44.88,2.04,7.11,466,12,16,1,731,10496.2,4.96,4.97,18.22,0.3,0.27,10,0,1,0,365
W1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,0.5,0.3,0.15,88122.87,781.23,196.63,45.29,1.63,4.34,852,18,15,1,731,10492.36,4.92,4.93,18.25,0.3,0.27,10,2,1,0,365
W1,2020-01-01,2021-12-31,2022-01-01,2022-12-31,0.5,0.3,0.2,132943.77,1229.44,264.29,43.65,1.85,6.05,586,18,15,1,731,10492.36,4.92,4.93,18.25,0.3,0.27,10,2,1,0,365
